song_id,user_id,timestamp,duration_sec,title,artist,genre,mood
S0048,U078,2025-05-05T20:38:36.000Z,151,Experience get never,Carlos Smith,Rock,Happy
S0013,U052,2025-04-28T08:54:47.000Z,50,Call everyone,Jason Strickland,Pop,Chill
S0050,U083,2025-05-05T22:51:36.000Z,240,How nature explain,Joshua Santos,HipHop,Happy
S0012,U070,2025-04-25T02:46:33.000Z,172,Remain would,Mary Cook,Classical,Chill
S0039,U055,2025-04-28T03:30:47.000Z,119,Could task,Samantha Cooper,HipHop,Sad
S0042,U006,2025-05-05T14:00:29.000Z,136,Tough people,Sherri Fleming,Classical,Chill
S0024,U018,2025-05-01T12:20:50.000Z,248,Situation next,Bruce Richardson,Jazz,Energetic
S0006,U025,2025-04-24T10:44:49.000Z,67,Experience rather,Michael Williams,Pop,Energetic
S0035,U002,2025-04-28T18:47:22.000Z,136,Try investment agreement,Glenn Williams,Jazz,Sad
S0037,U085,2025-05-02T03:45:15.000Z,255,Pretty list political,Sharon Martinez,Jazz,Chill
S0019,U028,2025-05-04T11:59:08.000Z,35,Huge power,Gary Patterson,Pop,Happy
S0023,U070,2025-05-03T11:52:11.000Z,81,Support heart discover,Raymond Brown,HipHop,Energetic
S0009,U072,2025-04-26T04:49:06.000Z,132,Seven paper record,Jennifer Carpenter,Classical,Sad
S0006,U064,2025-04-27T00:37:41.000Z,105,Experience rather,Michael Williams,Pop,Energetic
S0041,U017,2025-04-25T14:49:33.000Z,42,Establish member,Sarah Griffin,Classical,Energetic
S0020,U025,2025-04-23T00:00:32.000Z,223,Actually ok day,Ryan Burns,Rock,Sad
S0005,U071,2025-05-03T08:51:47.000Z,238,Degree,Christina Myers,HipHop,Sad
S0016,U083,2025-04-26T04:45:35.000Z,62,Particular federal today,Michael Park,Rock,Happy
S0017,U069,2025-04-25T17:44:50.000Z,265,Sell strategy physical,Christine Cross,HipHop,Chill
S0004,U028,2025-04-28T09:35:59.000Z,209,Imagine blue,Vickie Kelley,Jazz,Happy
S0003,U053,2025-05-05T05:19:24.000Z,285,New leave fact,Jay Nichols,Pop,Sad
S0004,U005,2025-04-27T11:33:04.000Z,195,Imagine blue,Vickie Kelley,Jazz,Happy
